symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
Imp,0.363184708382,0.919138656156,0.203593937029
Cbp53E,0.354875794749,1.28964825235,0.285663717133
ytr,0.352632368744,1.63025589686,0.361110061232
Gfrl,0.287517073183,1.98667984129,0.440059797066
pxb,0.271383863283,2.34648197792,0.519757819838
Sulf1,0.312283312262,2.72158434125,0.602844921471
5-HT1A,0.156849121697,3.06817552631,0.67961665056
mGluR,0.103088479326,3.40477022111,0.754174105672
CG4239,0.0726379358559,3.71098485503,0.822002221135
CG5021,0.0817179526862,3.95333630168,0.875684312338
nAChRalpha5,0.150381337118,4.14589864353,0.918337860895
CG17896,0.0999727421563,4.28230936694,0.948553537329
Ace,0.102811559917,4.37097252487,0.968192882569
CG34132,0.0738886683485,4.42863690233,0.980965838591
CG12994,0.110940030429,4.46105942173,0.988147593301
Pax,0.13814297659,4.48574308305,0.993615151165
