symbol,mutual_information,cumulative_information,relative_cumulative_information
MESR3,0.271239069415,0.271239069415,0.060080848138
CG12065,0.201425131328,0.495241002047,0.109698427663
Frq1,0.210499613164,0.732083902086,0.162160347476
FER,0.189857033986,0.963044968217,0.213319410844
Pax,0.13814297659,1.22375068461,0.271067067142
CG42674,0.160269456243,1.53603553654,0.340239767097
Tango13,0.121316252557,1.9284697288,0.42716595793
CG11583,0.0635206605924,2.36925752079,0.524802719658
mGluR,0.103088479326,2.84099999023,0.629296101559
DCTN3-p24,0.065407908524,3.30433310091,0.731926767267
LSm3,0.0653711349397,3.718032115,0.823563225442
beat-Va,0.148015501164,4.01802476991,0.890013140572
CG6999,0.10939523836,4.21001426872,0.932539801451
Adi1,0.0655473272946,4.33601065508,0.960448648694
pog,0.0699148718819,4.41060512572,0.976971707381
tra,0.0723933571937,4.45913554424,0.987721444548
CG31323,0.15988487845,4.48352578815,0.993124008947
