symbol,mutual_information,cumulative_information,relative_cumulative_information
CG9896,0.361149397573,0.361149397573,0.0799964479953
pxb,0.271383863283,0.651823264365,0.144382203654
Dat,0.29350606114,0.965073222468,0.213768679587
CG31997,0.25655882654,1.31712232528,0.291749365514
CR45312,0.262650844053,1.67825576594,0.371742278971
CG34362,0.266972719851,2.04291251684,0.452515623756
CG7985,0.116189868519,2.41760998699,0.53551303947
CG17680,0.0747694978841,2.83461988144,0.627882874665
CG40472,0.0742985314857,3.27667493624,0.725800341619
CG42674,0.160269456243,3.69177520601,0.817747185132
Ubc10,0.0640187409127,3.99063760317,0.883946742359
rad,0.0641869618045,4.19867772495,0.93002869873
Baldspot,0.0774974409353,4.3321629001,0.959596351188
CG9940,0.0675513461218,4.40784434413,0.976360180068
sda,0.0924886679381,4.45470095444,0.986739160112
CG34155,0.195162727589,4.48796037795,0.994106293383
