symbol,mutual_information,cumulative_information,relative_cumulative_information
CG17278,0.728365845438,0.728365845438,0.161336778817
Cngl,0.28307895033,1.0258129508,0.227222841636
CG30089,0.278061631773,1.31797586456,0.291938428852
CG42458,0.285208152076,1.59666885694,0.353670359242
RapGAP1,0.161829875228,1.8557471269,0.41105752779
CG34393,0.253267482929,2.14993598482,0.476221872052
CG5890,0.106599739241,2.45615970836,0.544052000911
Gycbeta100B,0.0766428172393,2.79497666418,0.619101698262
Dgk,0.0866219123897,3.14956000212,0.697643730298
CG6330,0.0879648005979,3.52489298697,0.780781915782
slo,0.0774280919808,3.82379031577,0.846989210548
Ih,0.0829747845585,4.06680829981,0.900818943208
sced,0.0791407922794,4.2338176778,0.93781237892
CG9368,0.0898380940531,4.34171492008,0.961712172713
CG14104,0.0755320647966,4.40533363181,0.975804044384
Ktl,0.123706041156,4.44775565233,0.985200739993
CG1969,0.094200511432,4.47658048603,0.991585588827
