symbol,mutual_information,cumulative_information,relative_cumulative_information
CG17278,0.728365845438,0.728365845438,0.161336778817
GstD1,0.324074554734,1.03954768529,0.230265155926
pxb,0.271383863283,1.33815426969,0.296408049313
oaf,0.21412209282,1.62987303164,0.361025254619
GstZ2,0.197880410982,1.95140400123,0.432246017163
CG32982,0.164069027031,2.27989987753,0.505009542346
Ric,0.0729246947863,2.62413159363,0.581258636932
CG9992,0.0720820432171,3.00666663339,0.665992114602
sced,0.0791407922794,3.41452362888,0.756334535629
GLS,0.0685402839225,3.73613411815,0.827572912191
CG32521,0.182461917831,3.97449498179,0.880371068744
CstF-64,0.0710754866803,4.15078375657,0.919419938543
CG3527,0.0704014886903,4.28831714066,0.949884290088
GluClalpha,0.0752721569523,4.37832196,0.969820820228
pog,0.0699148718819,4.43888647273,0.98323617112
Sodh-2,0.0851494713955,4.47076550544,0.990297540734
