symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42458,0.285208152076,0.285208152076,0.0631750717534
CG31997,0.25655882654,0.563551338379,0.1248295183
heph,0.251095484704,0.858806114406,0.190229968901
CG42402,0.174873758383,1.1145395236,0.246876233595
SPR,0.180307446071,1.39263094205,0.308474912268
GlyP,0.112488302519,1.71067510156,0.378923328458
Gycbeta100B,0.0766428172393,2.09624634386,0.464329340595
CR31032,0.0978763122019,2.5639489294,0.567927867446
pgant2,0.0847603475043,3.05231626733,0.676103743175
Shab,0.111998282312,3.51001448337,0.777486250754
sced,0.0791407922794,3.86268949588,0.855605578898
Inos,0.0669718909921,4.11268865234,0.910981677135
CG10340,0.0710926502376,4.27003529476,0.945834767248
SRPK,0.0699559145633,4.37069381751,0.968131147456
tra,0.0723933571937,4.43834298604,0.983115786025
tth,0.0691586450383,4.47909119835,0.992141724511
