symbol,mutual_information,cumulative_information,relative_cumulative_information
CG17278,0.728365845438,0.728365845438,0.161336778817
Dtg,0.401600542038,1.12167625822,0.248457056999
Imp,0.363184708382,1.47503070663,0.326726883687
CR44978,0.285065355803,1.77427506982,0.393011048352
CG43902,0.291705277617,2.06801334699,0.458075586663
mAChR-B,0.236280980229,2.35145045296,0.520858362599
GstZ2,0.197880410982,2.62868785803,0.582267872918
Pax,0.13814297659,2.94229462681,0.65173338425
CG1090,0.192748588002,3.27807333286,0.726110093658
CG42322,0.0793132789099,3.60165931276,0.797786051551
alc,0.0659698393916,3.89034770915,0.861732015309
nAChRalpha5,0.150381337118,4.1121497844,0.910862315116
Nc73EF,0.0641234787723,4.26444958922,0.944597504757
CR46008,0.064896818889,4.36345509799,0.966527733872
sced,0.0791407922794,4.43001729313,0.981271602248
CG34356,0.0686232736533,4.47076550544,0.990297540734
