symbol,mutual_information,cumulative_information,relative_cumulative_information
CG8861,0.39110392784,0.39110392784,0.0866315304259
Sulf1,0.312283312262,0.733896280979,0.162561798718
CG30116,0.332504780348,1.07328282158,0.237737662024
CG31475,0.263743158737,1.39253214802,0.308453028883
CR45333,0.189752769186,1.70672564449,0.378048503415
app,0.179537379208,2.05933518642,0.456153329487
sick,0.156264014604,2.44029328788,0.540537507217
AnxB10,0.0655817151906,2.87866563297,0.63763923504
Pde6,0.117801019098,3.29908587905,0.730764480652
CG14977,0.0658742245206,3.6643128917,0.811664141348
GLS,0.0685402839225,3.95978669102,0.877113106733
CG7339,0.0629210273448,4.17621135853,0.925052283085
Srp9,0.060516203913,4.32438069389,0.957872552508
tra,0.0723933571937,4.42336540843,0.979798175594
Rpn12,0.0661760065099,4.47160240954,0.990482919295
