symbol,mutual_information,cumulative_information,relative_cumulative_information
CG2082,0.422657906886,0.422657906886,0.0936208989831
Imp,0.363184708382,0.794339337459,0.175950246426
CG32204,0.319947496401,1.12546467992,0.249296211879
CR44978,0.285065355803,1.40894800485,0.312089225553
CR32111,0.260898204128,1.71392310493,0.379642777898
ST6Gal,0.178831904032,2.00855252908,0.444904709845
CG44422,0.125662646301,2.33285492636,0.516739357869
CR44024,0.116221405472,2.64988061253,0.586962176978
CG5021,0.0817179526862,3.01264148589,0.667315575142
ras,0.0781501951767,3.39774643511,0.752618300968
CG3961,0.0771487263984,3.73603909025,0.827551863024
CG42260,0.0732577191526,3.99730419792,0.885423427366
CG17931,0.0764780353031,4.19419978701,0.92903681246
CstF-64,0.0710754866803,4.30969653369,0.954619935542
nAChRalpha6,0.138187920584,4.38705178592,0.971754521544
Ktl,0.123706041156,4.43361497882,0.982068508123
CG6163,0.0937536095339,4.46495052484,0.989009492641
Trx-2,0.0922418057886,4.48352578815,0.993124008947
