symbol,mutual_information,cumulative_information,relative_cumulative_information
pxb,0.271383863283,0.271383863283,0.0601129207241
CG31997,0.25655882654,0.551372730317,0.122131894012
heph,0.251095484704,0.863166218934,0.191195754467
CG1402,0.252720880133,1.17846427847,0.261035895394
oaf,0.21412209282,1.53260249961,0.33947933177
olf413,0.117492219562,1.88379266592,0.417269758847
nAChRalpha1,0.106624115786,2.28540140307,0.506228158533
CR44024,0.116221405472,2.71077782803,0.600451223244
ras,0.0781501951767,3.16739224101,0.701593662874
Synj,0.0863857143126,3.58394521194,0.793862287162
l(2)41Ab,0.0945425988865,3.86079346184,0.855185597611
GluClalpha,0.0752721569523,4.05922350546,0.899138872271
ko,0.0952820174253,4.19202584024,0.928555272076
CG11221,0.0751892608137,4.28333906417,0.948781620556
CG43737,0.159691526331,4.35320552759,0.964257401342
CG10947,0.225141557289,4.40533363181,0.975804044384
CG31690,0.111559076376,4.44470145332,0.984524219213
CG13737,0.235208381736,4.46854821054,0.989806398516
Elk,0.104481859035,4.48130849325,0.992632866729
