symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
GstD1,0.324074554734,0.850326278638,0.188351641689
CG30116,0.332504780348,1.16527836266,0.258115147263
CR45312,0.262650844053,1.50490991459,0.333345281839
oaf,0.21412209282,1.84918391507,0.409603742632
CG42541,0.167545378244,2.19780216317,0.486824476605
CG44422,0.125662646301,2.58023153806,0.571534548963
CG6999,0.10939523836,3.01969758951,0.668878538367
CG42260,0.0732577191526,3.43452487857,0.760764915248
CG5890,0.106599739241,3.82415796685,0.847070647152
Prp3,0.0736591559345,4.09872763856,0.907889240818
CG14977,0.0658742245206,4.29126062406,0.950536286793
Pde6,0.117801019098,4.39202986241,0.972857191076
Pglym78,0.0878916617699,4.44721216564,0.985080354897
CG14853,0.122589108123,4.48352578815,0.993124008947
