symbol,mutual_information,cumulative_information,relative_cumulative_information
CG30116,0.332504780348,0.332504780348,0.0736515180366
Tbh,0.184276798346,0.537188628958,0.118990042649
CG32982,0.164069027031,0.750746644577,0.166294240871
CG12355,0.122679978892,0.999504501172,0.221395384808
CG2269,0.107429081915,1.31255728271,0.290738185119
mGluR,0.103088479326,1.72719292636,0.382582111558
Oatp74D,0.0715609271089,2.2278038567,0.49347000594
CG31249,0.0681947565248,2.76497645724,0.612456498214
CG15270,0.0891101421169,3.30140284844,0.731277701282
CG2147,0.0562699814038,3.7317924918,0.826611219638
l(2)k14505,0.0569032914617,4.05689549496,0.898623205978
CG12608,0.0709049271962,4.24109974546,0.939425394339
Ubi-p63E,0.0697457818504,4.3579335348,0.965304679244
Dop1R1,0.137160145759,4.42169160022,0.979427418472
CG11388,0.0602715232157,4.46273322994,0.988518350423
tinc,0.0594822835896,4.48574308305,0.993615151165
