symbol,mutual_information,cumulative_information,relative_cumulative_information
CG30089,0.278061631773,0.278061631773,0.0615920807707
CR45312,0.262650844053,0.562100746724,0.124508204791
CG1648,0.182361582849,0.829556446936,0.183751017203
Tbh,0.184276798346,1.11060669174,0.246005091123
Pax,0.13814297659,1.44654718326,0.320417636845
Shab,0.111998282312,1.82564272847,0.404389248792
norpA,0.0921896581511,2.23933349886,0.496023880946
tipE,0.063189801556,2.72503516243,0.603609296102
CG32706,0.0846568114692,3.21548991834,0.712247545641
CG9471,0.0718410350696,3.64742475301,0.807923331816
CG3961,0.0771487263984,3.95135185917,0.875244748122
Dop1R1,0.137160145759,4.15056232537,0.919370890395
CG32521,0.182461917831,4.27660510195,0.94729001331
Ace,0.102811559917,4.35847702149,0.96542506434
alphagamma-element:CR32865,0.0666803527053,4.41449622883,0.977833606722
jdp,0.119563891117,4.45080985133,0.985877260772
CG11191,0.0765089662873,4.47465660854,0.991159440075
