symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
Cbp53E,0.354875794749,0.907405861048,0.200995062602
aret,0.234832195147,1.19339868737,0.264343943733
CG30116,0.332504780348,1.5017180332,0.332638263704
rdgA,0.242963395399,1.84975694178,0.409730670995
Pde11,0.184485709261,2.22287837621,0.492378986693
CG14509,0.145916323867,2.59742677438,0.575343382197
GstZ2,0.197880410982,2.99561098349,0.663543231318
nAChRalpha6,0.138187920584,3.38226629089,0.749189369449
ksh,0.0633050402993,3.72084119198,0.824185450434
Adi1,0.0655473272946,4.01062894457,0.888374927241
CG12355,0.122679978892,4.2058196569,0.93161067337
DCTN3-p24,0.065407908524,4.3335432909,0.959902114845
CG3961,0.0771487263984,4.41642010631,0.978259755475
CG3760,0.0719696488817,4.46357013404,0.988703728984
Gprk2,0.0911246236807,4.49017767285,0.994597435601
