symbol,mutual_information,cumulative_information,relative_cumulative_information
Dat,0.29350606114,0.29350606114,0.0650131012651
Frq1,0.210499613164,0.525738005284,0.116453670646
cmpy,0.170865483411,0.768369102143,0.170197705807
CG17544,0.193793196633,1.05132801307,0.232874559085
5-HT1A,0.156849121697,1.37720189225,0.305057298427
CG9801,0.074178997376,1.76017016893,0.389886740302
GluRIA,0.158196292491,2.19844383044,0.486966609204
LSm3,0.0653711349397,2.67703260575,0.592976483046
Baldspot,0.0774974409353,3.14851120893,0.697411417213
CG10340,0.0710926502376,3.59898249618,0.797193122918
VepD,0.0734027383064,3.89942038479,0.863741659601
CG31690,0.111559076376,4.13323114127,0.915531944028
nAChRalpha2,0.12151531344,4.28028486516,0.948105099777
beat-Va,0.148015501164,4.37734570221,0.969604574111
tth,0.0691586450383,4.43307149213,0.981948123027
unc-13-4A,0.115113702477,4.46716781974,0.989500634859
CG2201,0.107437025778,4.48490617894,0.993429772604
