symbol,mutual_information,cumulative_information,relative_cumulative_information
MESR3,0.271239069415,0.271239069415,0.060080848138
app,0.179537379208,0.468102075432,0.103687015915
Ca-alpha1T,0.171827749644,0.691379255153,0.153144058945
5-HT1A,0.156849121697,0.940457268783,0.208316119311
CG42340,0.102796455754,1.24057205869,0.27479308797
CG6330,0.0879648005979,1.59163815325,0.352556032515
CG42806,0.0625788350755,2.02325843235,0.448162143014
CG14431,0.0612976292424,2.49877227391,0.553490903225
CG5021,0.0817179526862,3.00283765647,0.665143976532
CG2269,0.107429081915,3.47835506302,0.770473526406
tra,0.0723933571937,3.84719931711,0.852174424675
P5cr,0.0800634302602,4.1154254146,0.911587884044
Shab,0.111998282312,4.28333906417,0.948781620556
CG42540,0.121298749702,4.3791588641,0.970006198789
CG6154,0.162146478818,4.43307149213,0.981948123027
CG10512,0.0698325532631,4.47687390344,0.991650582293
