symbol,mutual_information,cumulative_information,relative_cumulative_information
CG31676,0.590963895699,0.590963895699,0.130901540656
CG42458,0.285208152076,0.889292327064,0.196982821715
CG8861,0.39110392784,1.18755462939,0.263049454851
FER,0.189857033986,1.41057755011,0.312450178206
Pax,0.13814297659,1.62550574245,0.360057877614
nAChRalpha2,0.12151531344,1.89105217486,0.418877777394
nAChRalpha1,0.106624115786,2.20357878973,0.488104029082
Synj,0.0863857143126,2.55052829482,0.564955127899
Shab,0.111998282312,2.96117140603,0.655914687881
para,0.0916983729476,3.36041535114,0.744349273975
CG42260,0.0732577191526,3.7127443181,0.822391951249
CR31032,0.0978763122019,4.00070598466,0.886176940614
pgant5,0.0952262908871,4.18700441562,0.92744300071
l(1)G0193,0.0688764298696,4.30972517177,0.954626279024
CstF-64,0.0710754866803,4.37970235079,0.970126583885
nop5,0.0721585057729,4.42823276932,0.980876321052
l(1)G0156,0.065152964892,4.45789450713,0.987446548448
Tet,0.0940548641349,4.47436319113,0.991094446609
