symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
CG34362,0.266972719851,0.814386268871,0.180390744782
CG1688,0.258603540994,1.11759525392,0.247553093569
CG1402,0.252720880133,1.43153661687,0.317092719231
CG42750,0.236541559745,1.77346248122,0.392831055801
sano,0.214150333872,2.12768235053,0.471292577665
GluRIA,0.158196292491,2.4766772217,0.548596735583
GstZ2,0.197880410982,2.86272648242,0.63410863126
Pglym78,0.0878916617699,3.26519131956,0.723256661496
Shab,0.111998282312,3.6462114137,0.807654570922
CG2269,0.107429081915,3.95260378223,0.875522055514
nAChRalpha6,0.138187920584,4.16943100609,0.923550400166
Sodh-2,0.0851494713955,4.30761859247,0.954159660881
CG32982,0.164069027031,4.38483449102,0.971263379326
CG34155,0.195162727589,4.43056077982,0.981391987344
CG3940,0.164710728845,4.45800522273,0.987471072522
rdgC,0.130454785189,4.47520009524,0.99127982517
