symbol,mutual_information,cumulative_information,relative_cumulative_information
CG43902,0.291705277617,0.291705277617,0.0646142184581
CG32698,0.172041030745,0.490057280204,0.108550206629
CG14509,0.145916323867,0.705614813022,0.156297308188
GluRIB,0.113127504423,0.932443016127,0.206540921152
Nop56,0.0714973281709,1.24147932985,0.274994053195
CG42732,0.107376175425,1.64711368575,0.364844148127
CG4239,0.0726379358559,2.13676081724,0.473303504709
X11Lbeta,0.0752677607599,2.67682069121,0.592929542886
CG8360,0.0726238135842,3.18856571119,0.706283695359
alc,0.0659698393916,3.64235675515,0.806800744238
sdt,0.0852364937754,3.9812814184,0.881874299339
CG42340,0.102796455754,4.20696006972,0.931863280672
Prp3,0.0736591559345,4.33157606528,0.959466364258
CG5168,0.0640503296809,4.41282242062,0.9774628496
Rpn12,0.0661760065099,4.46189632583,0.988332971862
CG9368,0.0898380940531,4.48574308305,0.993615151165
