symbol,mutual_information,cumulative_information,relative_cumulative_information
Cbp53E,0.354875794749,0.354875794749,0.0786068127212
CG34354,0.318438739906,0.681710453671,0.151002369716
ST6Gal,0.178831904032,0.92088777982,0.203981376912
Pde11,0.184485709261,1.20097897629,0.266023016696
beat-Va,0.148015501164,1.51109178167,0.334714597174
pgant5,0.0952262908871,1.84939960962,0.409651520084
Glo1,0.0776833192371,2.27055292475,0.502939144259
Nop56,0.0714973281709,2.73595842674,0.606028855295
mRpS25,0.0640489717407,3.19939251704,0.708681888508
CG42260,0.0732577191526,3.61311465504,0.800323468751
Nnf1a,0.0703143541695,3.95746348229,0.876598504057
mRpL12,0.0619054616288,4.18420028589,0.926821871561
SPoCk,0.0624916460218,4.30772930807,0.954184184955
tra,0.0723933571937,4.38843217671,0.972060285201
pyd,0.134287492575,4.44194067173,0.9839126919
CG15236,0.149337921206,4.47022201874,0.990177155638
