symbol,mutual_information,cumulative_information,relative_cumulative_information
IA-2,0.411101913615,0.411101913615,0.0910611870717
Cbp53E,0.354875794749,0.768530656622,0.170233490955
CG34393,0.253267482929,1.0477581359,0.232083812941
Pde1c,0.202952423373,1.33749766097,0.296262607105
GILT3,0.184139416563,1.64622835791,0.364648043461
Pde11,0.184485709261,1.9780039154,0.438138034885
RapGAP1,0.161829875228,2.36706447257,0.524316948205
CG2931,0.0670604726537,2.75597526609,0.610462688105
GLS,0.0685402839225,3.18159319206,0.70473924653
CG6330,0.0879648005979,3.57334270052,0.791513776382
CG5021,0.0817179526862,3.88360286099,0.860237996771
tra,0.0723933571937,4.1213511108,0.912900456211
CG15270,0.0891101421169,4.27555685795,0.947057821876
Nnf1a,0.0703143541695,4.3734545991,0.96874267477
CG11191,0.0765089662873,4.43666917783,0.982745028902
CR45009,0.122835973781,4.46716781974,0.989500634859
CG10512,0.0698325532631,4.48796037795,0.994106293383
