symbol,mutual_information,cumulative_information,relative_cumulative_information
CG17278,0.728365845438,0.728365845438,0.161336778817
IA-2,0.411101913615,1.1298097493,0.250258667082
CG8861,0.39110392784,1.44845635853,0.320840528982
Sulf1,0.312283312262,1.74327434339,0.386144228093
CR45312,0.262650844053,2.03663538203,0.45112520613
mAChR-B,0.236280980229,2.3588932565,0.522506981842
Pde1c,0.202952423373,2.70760950468,0.599749423336
Ih,0.0829747845585,3.02404178269,0.669840799485
CG12608,0.0709049271962,3.38690492057,0.750216849769
CG9953,0.0699424181465,3.6831294154,0.815832098069
CG9531,0.0875454549691,3.93598414034,0.871840719403
CG14853,0.122589108123,4.11376935853,0.911221059112
GABA-B-R3,0.0985366999938,4.25875602715,0.943336351491
MYPT-75D,0.110344230149,4.34746253321,0.962985298566
CG1358,0.094743524627,4.41438551323,0.977809082647
pog,0.0699148718819,4.45164675544,0.986062639333
CG6163,0.0937536095339,4.47214589623,0.990603304391
