symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42342,0.45192515455,0.45192515455,0.100103744784
CG8861,0.39110392784,0.84061088588,0.186199632253
Cbp53E,0.354875794749,1.20846613959,0.267681461853
CR45312,0.262650844053,1.53440795579,0.339879249595
heph,0.251095484704,1.87971308103,0.416366109823
Pde1c,0.202952423373,2.23644443931,0.495383939404
Cngl,0.28307895033,2.60811837625,0.577711626971
CG42540,0.121298749702,2.98871828582,0.662016463355
CG42322,0.0793132789099,3.35996334497,0.744249152283
Pglym78,0.0878916617699,3.70264087208,0.82015398602
Pal2,0.0697025794228,3.99366638919,0.884617634032
Ih,0.0829747845585,4.20714277153,0.931903750063
Shab,0.111998282312,4.32949812406,0.959006089596
CG6330,0.0879648005979,4.40922473492,0.976665943724
Arpc2,0.0698900192463,4.45524444113,0.986859545208
Dgk,0.0866219123897,4.48796037795,0.994106293383
