symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
PVRAP,0.374939959033,0.873842355246,0.193560573539
fas,0.205810993954,1.1169161679,0.247402672525
CG42541,0.167545378244,1.35962703249,0.301164376649
CG42732,0.107376175425,1.63574860307,0.362326723894
san,0.0600494209867,1.96095086117,0.434360695715
BCL7-like,0.0591059280892,2.37542030781,0.526167808661
pgant2,0.0847603475043,2.87746397159,0.637373060867
l(2)SH0834,0.0623740479185,3.37645337862,0.747901779503
Ric,0.0729246947863,3.76961497285,0.83498909361
5PtaseI,0.0663204173069,4.05704493994,0.89865630881
Rpb12,0.0596707746126,4.24727551094,0.940793358137
l(1)G0193,0.0688764298696,4.35596630918,0.964868928656
Syx8,0.0613498719354,4.42282192174,0.979677790498
norpA,0.0921896581511,4.45691824934,0.98723030233
P5cr,0.0800634302602,4.48352578815,0.993124008947
