symbol,mutual_information,cumulative_information,relative_cumulative_information
Ac76E,0.388448109036,0.388448109036,0.0860432529091
CR32111,0.260898204128,0.666171720933,0.14756046054
CG34393,0.253267482929,0.936770533768,0.207499488554
Drep3,0.162051937144,1.17304534107,0.259835572905
nAChRalpha6,0.138187920584,1.41561363186,0.313565696201
Gycbeta100B,0.0766428172393,1.72250301065,0.381543271119
l(2)SH0834,0.0623740479185,2.07432022034,0.459472591529
CG5021,0.0817179526862,2.49597199461,0.552870626964
Atet,0.0677533266533,2.940846542,0.651412626021
mRpS25,0.0640489717407,3.37054526269,0.746593101455
Mgstl,0.0655156458752,3.74312903558,0.829122322359
Tom70,0.061956403875,4.04408882203,0.895786462093
Nc73EF,0.0641234787723,4.24789098384,0.940929688549
GlyP,0.112488302519,4.3645854195,0.966778105898
Pura,0.14646159414,4.43750608193,0.982930407463
Gprk2,0.0911246236807,4.47381970444,0.990974061514
