symbol,mutual_information,cumulative_information,relative_cumulative_information
CG9896,0.361149397573,0.361149397573,0.0799964479953
Sulf1,0.312283312262,0.694302320842,0.15379153302
CG30116,0.332504780348,1.04893639459,0.232344803297
MESR3,0.271239069415,1.36397878135,0.302128311392
CG1402,0.252720880133,1.66019174766,0.367741006067
fas,0.205810993954,1.9874084045,0.440221177563
CG42541,0.167545378244,2.3636303166,0.523556265004
SKIP,0.103861874894,2.76400049268,0.612240317046
CG2269,0.107429081915,3.16881338126,0.701908452745
CR44024,0.116221405472,3.5580126808,0.788118098212
Glo1,0.0776833192371,3.9068734863,0.865392559896
ras,0.0781501951767,4.15427072667,0.920192320344
CG31249,0.0681947565248,4.32121577928,0.957171507654
CG42340,0.102796455754,4.41420281141,0.977768613256
DCTN3-p24,0.065407908524,4.46938511464,0.989991777077
Rpn12,0.0661760065099,4.49682955755,0.996070862255
