symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42747,0.287281315903,0.287281315903,0.0636342881977
CR45333,0.189752769186,0.507652369277,0.112447609304
fas,0.205810993954,0.758543053851,0.168021185601
Pde1c,0.202952423373,1.0643915105,0.235768190916
CG1090,0.192748588002,1.420977538,0.314753828983
CG12355,0.122679978892,1.81691433361,0.402455864462
SKIP,0.103861874894,2.29823338933,0.509070509451
CG32706,0.0846568114692,2.8042728049,0.621160841217
CG14669,0.0741129728735,3.30255201704,0.731532248033
alc,0.0659698393916,3.71418429626,0.822710913814
Pal2,0.0697025794228,4.01509983329,0.889365252074
CG42540,0.121298749702,4.22128344504,0.935035981933
RhoGEF3,0.0944856770764,4.35680321329,0.965054307217
CG9940,0.0675513461218,4.43553885631,0.982494656876
LSm3,0.0653711349397,4.46992860133,0.990112162173
