symbol,mutual_information,cumulative_information,relative_cumulative_information
heph,0.251095484704,0.251095484704,0.0556189405795
CG12880,0.22951961241,0.497920882678,0.110292034999
bru-3,0.233389792572,0.745395541084,0.165108943941
Frq1,0.210499613164,1.0015037311,0.221838224514
sick,0.156264014604,1.29243772389,0.286281599419
Pura,0.14646159414,1.60435506005,0.355372892741
CG15522,0.140765603894,1.96213357942,0.434622673886
CG9992,0.0720820432171,2.40487857216,0.53269296564
sdt,0.0852364937754,2.88379559037,0.638775546974
CG12355,0.122679978892,3.3291686271,0.737427963981
Pglym78,0.0878916617699,3.71504814253,0.822902260202
Nnf1a,0.0703143541695,4.01817883365,0.890047266481
CG15270,0.0891101421169,4.21996737962,0.934744466677
Rpn12,0.0661760065099,4.34542332137,0.962533602662
pgant5,0.0952262908871,4.42558270333,0.980289317812
Dgk,0.0866219123897,4.46633091564,0.989315256298
nAChRalpha3,0.160434857392,4.49155806364,0.994903199258
