symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42339,0.350915000404,0.350915000404,0.0777294764139
Trim9,0.253510383885,0.612911971655,0.135763152301
fas,0.205810993954,0.875848996444,0.194005054879
CG13300,0.192999191154,1.14353539382,0.253298967899
app,0.179537379208,1.44951484957,0.321074990186
CG42541,0.167545378244,1.82893391504,0.405118263534
CG6330,0.0879648005979,2.27386575965,0.503672954218
norpA,0.0921896581511,2.76677169299,0.612854152161
CG14509,0.145916323867,3.24575148635,0.718950638511
CG5890,0.106599739241,3.6495311493,0.808389909421
Dys,0.0739526193649,3.97064565015,0.879518421999
CG42402,0.174873758383,4.20960709363,0.932449610074
CG14853,0.122589108123,4.33092186299,0.959321455088
CG10340,0.0710926502376,4.40700744002,0.976174801506
tra,0.0723933571937,4.45302714623,0.98636840299
Ubi-p63E,0.0697457818504,4.47465660854,0.991159440075
