symbol,mutual_information,cumulative_information,relative_cumulative_information
Cbp53E,0.354875794749,0.354875794749,0.0786068127212
CR32111,0.260898204128,0.627666352452,0.13903132349
CG4341,0.268400019974,0.913804756351,0.202412450804
CG10384,0.148525528296,1.13474520477,0.251351895838
CG6999,0.10939523836,1.39768156975,0.309593652266
RhoGEF3,0.0944856770764,1.67501725237,0.371024931567
CR31032,0.0978763122019,2.04129624156,0.452157610473
Marf,0.0615498371021,2.44617797044,0.541840994653
CG42322,0.0793132789099,2.88743755947,0.639582261851
CG9940,0.0675513461218,3.32088184659,0.735592399501
Atet,0.0677533266533,3.70107722046,0.819807629148
Nmda1,0.0620155613774,4.00036143901,0.886100621983
CG7339,0.0629210273448,4.21008625494,0.932555746768
QIL1,0.0614489763184,4.33757374769,0.960794881742
Syx8,0.0613498719354,4.41533313293,0.978018985283
Ubc10,0.0640187409127,4.45524444113,0.986859545208
Mkp3,0.0712577590389,4.47687390344,0.991650582293
