symbol,mutual_information,cumulative_information,relative_cumulative_information
CG9896,0.361149397573,0.361149397573,0.0799964479953
ytr,0.352632368744,0.727825658969,0.161217124737
Gfrl,0.287517073183,1.05694832656,0.234119487414
CR45312,0.262650844053,1.38914547399,0.307702863178
heph,0.251095484704,1.74910814073,0.387436444193
CG42750,0.236541559745,2.11488275,0.468457400354
5-HT1A,0.156849121697,2.532252566,0.560906960022
app,0.179537379208,2.95594143135,0.654756221605
CR44024,0.116221405472,3.37194434762,0.746903005957
Liprin-gamma,0.1134260422,3.70313605223,0.82026367097
pyd,0.134287492575,3.96430759743,0.878114510743
nAChRalpha6,0.138187920584,4.15248620286,0.919797039148
pog,0.0699148718819,4.28623919944,0.949424015427
CG8910,0.0795926924404,4.37872609301,0.969910337767
nop5,0.0721585057729,4.43361497882,0.982068508123
Tet,0.0940548641349,4.46938511464,0.989991777077
CG12994,0.110940030429,4.49017767285,0.994597435601
