symbol,mutual_information,cumulative_information,relative_cumulative_information
CG43902,0.291705277617,0.291705277617,0.0646142184581
CG12880,0.22951961241,0.548391545259,0.121471546197
app,0.179537379208,0.777721400953,0.172269288068
nAChRalpha3,0.160434857392,1.05504065811,0.233696929045
Tbh,0.184276798346,1.37763207136,0.305152585311
nAChRalpha1,0.106624115786,1.74740338475,0.38705883198
CG14509,0.145916323867,2.18256931062,0.483450321464
Glo1,0.0776833192371,2.63910333975,0.584574955659
LSm3,0.0653711349397,3.13110421449,0.693555678468
CG11583,0.0635206605924,3.53774742267,0.783629239365
rad,0.0641869618045,3.86072147562,0.855169652294
CG9953,0.0699424181465,4.07194044003,0.901955738649
CG3961,0.0771487263984,4.22234178034,0.935270408642
Ca-alpha1T,0.171827749644,4.32659798879,0.958363694726
Thor,0.181657012734,4.39286676651,0.973042569637
CG30156,0.071794226328,4.43888647273,0.98323617112
SdhD,0.0696576505152,4.46716781974,0.989500634859
GstE11,0.163951828922,4.48047158914,0.992447488168
