symbol,mutual_information,cumulative_information,relative_cumulative_information
Dat,0.29350606114,0.29350606114,0.0650131012651
CG42750,0.236541559745,0.55217606465,0.122309836696
CG34362,0.266972719851,0.841524479106,0.186401997849
Pde9,0.196450222565,1.16327278309,0.257670901079
Pde11,0.184485709261,1.54933548632,0.343185774341
cmpy,0.170865483411,1.95167622098,0.432306315237
nAChRalpha6,0.138187920584,2.42087423347,0.536236086844
CG14853,0.122589108123,2.91117954446,0.644841233567
para,0.0916983729476,3.36971668656,0.746409567581
CG32982,0.164069027031,3.73444729581,0.827199272371
CG6999,0.10939523836,4.02485473768,0.89152601354
CR44024,0.116221405472,4.21280064631,0.933156998409
sfl,0.0807414909233,4.32732417729,0.958524549213
CG14669,0.0741129728735,4.40479014512,0.975683659288
CG4238,0.0791273650947,4.44997294723,0.985691882211
spri,0.111988614565,4.48490617894,0.993429772604
