symbol,mutual_information,cumulative_information,relative_cumulative_information
CG31676,0.590963895699,0.590963895699,0.130901540656
CG42458,0.285208152076,0.889292327064,0.196982821715
CR45312,0.262650844053,1.17980462634,0.261332789337
GstD1,0.324074554734,1.48860713972,0.329734133404
Trim9,0.253510383885,1.79838729655,0.398352030518
CR45333,0.189752769186,2.0894413839,0.462822006985
CG10947,0.225141557289,2.40894056795,0.533592718588
CG42541,0.167545378244,2.74801291731,0.608698986921
RhoGEF3,0.0944856770764,3.08521790624,0.683391625318
CG4239,0.0726379358559,3.42135205161,0.757847066364
tra,0.0723933571937,3.71472398881,0.822830458486
CG6154,0.162146478818,3.95950573621,0.877050873799
nAChRalpha6,0.138187920584,4.15437439305,0.920215282981
CG3760,0.0719696488817,4.29082785297,0.950440425772
CG9531,0.0875454549691,4.3881387593,0.971995291736
CG10139,0.0688319366505,4.43666917783,0.982745028902
nkd,0.0689909916379,4.47076550544,0.990297540734
