symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42342,0.45192515455,0.45192515455,0.100103744784
CR32111,0.260898204128,0.721198211328,0.159749111017
mAChR-B,0.236280980229,0.978771647873,0.216802951229
fas,0.205810993954,1.24218910846,0.275151272805
CG42541,0.167545378244,1.50319331973,0.332965047255
Pax,0.13814297659,1.80420436954,0.399640542087
GLS,0.0685402839225,2.17113639672,0.480917872265
mRpS14,0.0650549037882,2.59316782189,0.574400002328
GlyP,0.112488302519,3.06865426253,0.679722693093
Adi1,0.0655473272946,3.49422203393,0.773988142025
Synj,0.0863857143126,3.84898079883,0.852569032034
LSm3,0.0653711349397,4.08605247546,0.905081627036
CG17680,0.0747694978841,4.25440351486,0.942372247647
CG17931,0.0764780353031,4.3490643552,0.963340110372
Pkc53E,0.0770087073205,4.41089854313,0.977036700847
P32,0.080379268532,4.44942946054,0.985571497115
Tes,0.0799330879576,4.47243931364,0.990668297857
