symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
CG4341,0.268400019974,0.823982429342,0.182516343654
MESR3,0.271239069415,1.09018563067,0.241481721124
CG1090,0.192748588002,1.35561992239,0.300276781164
rdgC,0.130454785189,1.59620528949,0.353567676668
Noa36,0.0604732129207,1.86288988454,0.412639685324
CG44837,0.0596606775972,2.20480107466,0.488374771478
AnxB10,0.0655817151906,2.64295062624,0.585427149392
CG2931,0.0670604726537,3.07975653285,0.68218190304
CG3961,0.0771487263984,3.49217306941,0.773534285851
norpA,0.0921896581511,3.84841956,0.852444714747
AGO2,0.0595751450628,4.10764320838,0.909864085363
Nc73EF,0.0641234787723,4.26367682748,0.944426334059
CG14535,0.0610971591731,4.3637485154,0.966592727337
CG17202,0.0647532173332,4.42612619002,0.980409702908
CR12842,0.0940119542684,4.46633091564,0.989315256298
RpII18,0.0615874732075,4.49155806364,0.994903199258
