symbol,mutual_information,cumulative_information,relative_cumulative_information
IA-2,0.411101913615,0.411101913615,0.0910611870717
CG30463,0.188568544321,0.617549482487,0.136790384789
Pde11,0.184485709261,0.865014094405,0.191605068382
CG42402,0.174873758383,1.1306347914,0.250441418148
CG42340,0.102796455754,1.42997596995,0.316747027915
CG10019,0.0749194625016,1.7885436818,0.396171619251
Synj,0.0863857143126,2.21474951959,0.490578403167
tra,0.0723933571937,2.67199593027,0.591860833539
CG4853,0.0621095819815,3.1472464248,0.697131261028
Mst85C,0.0611953517611,3.55979913616,0.788513807257
PQBP1,0.0620881477647,3.89489988075,0.862740344718
Liprin-gamma,0.1134260422,4.11669047105,0.911868100549
CG8910,0.0795926924404,4.26410959857,0.944522195081
CG14853,0.122589108123,4.36531160801,0.966938960385
CG31323,0.15988487845,4.42768928263,0.980755935956
CG14669,0.0741129728735,4.46578742894,0.989194871202
pyd,0.134287492575,4.48712347384,0.993920914822
