symbol,mutual_information,cumulative_information,relative_cumulative_information
CG9896,0.361149397573,0.361149397573,0.0799964479953
GstD1,0.324074554734,0.705321863187,0.156232418294
heph,0.251095484704,0.982558231842,0.217641699042
rdgA,0.242963395399,1.26724802439,0.280701951496
CG30463,0.188568544321,1.59354975105,0.352979461255
CG1648,0.182361582849,1.93037666164,0.427588353356
RhoGEF3,0.0944856770764,2.32780587966,0.515620968071
ras,0.0781501951767,2.78298909314,0.616446389656
px,0.0761459976184,3.24071882236,0.717835877568
pgant2,0.0847603475043,3.64412700865,0.807192864489
Pax,0.13814297659,3.95954604226,0.877059801795
CG15270,0.0891101421169,4.17886142452,0.925639286324
CG34393,0.253267482929,4.29874941287,0.952195092008
Ca-alpha1T,0.171827749644,4.3792695797,0.970030722863
slo,0.0774280919808,4.43056077982,0.981391987344
beat-Va,0.148015501164,4.46633091564,0.989315256298
CG18769,0.0989280574085,4.48268888404,0.992938630386
