symbol,mutual_information,cumulative_information,relative_cumulative_information
Gfrl,0.287517073183,0.287517073183,0.0636865096471
pxb,0.271383863283,0.591488379084,0.131017716422
CR45312,0.262650844053,0.924671544747,0.204819500293
aret,0.234832195147,1.21897820131,0.27000993756
Pax,0.13814297659,1.54380102422,0.341959862536
CG6999,0.10939523836,1.91394086711,0.423947740383
CR44024,0.116221405472,2.35897267,0.52252457234
mRpS14,0.0650549037882,2.83463509029,0.627886243503
CG4239,0.0726379358559,3.29544676563,0.729958398323
rad,0.0641869618045,3.7026028661,0.820145567499
CG6144,0.0638339947836,3.97929017345,0.881433228346
Rpn12,0.0661760065099,4.17336083858,0.924420878263
CG14853,0.122589108123,4.31623770279,0.956068838122
CG14104,0.0755320647966,4.39508406142,0.973533711855
CG32521,0.182461917831,4.43834298604,0.983115786025
GluClalpha,0.0752721569523,4.46578742894,0.989194871202
CG17691,0.0661212827842,4.48796037795,0.994106293383
