symbol,mutual_information,cumulative_information,relative_cumulative_information
Cbp53E,0.354875794749,0.354875794749,0.0786068127212
GstD1,0.324074554734,0.712811990055,0.157891519897
CG32204,0.319947496401,1.04071077184,0.230522785576
oaf,0.21412209282,1.34879471654,0.298764962984
Pde1c,0.202952423373,1.65135792622,0.365784269208
nAChRalpha5,0.150381337118,1.98727619522,0.440191892528
nAChRalpha1,0.106624115786,2.35727256802,0.522147991012
CG12355,0.122679978892,2.74667139735,0.608401833353
CG4239,0.0726379358559,3.159246191,0.699789270924
CG5021,0.0817179526862,3.55039175574,0.786430024138
CG31249,0.0681947565248,3.87254198248,0.857787955325
Prp3,0.0736591559345,4.10915991077,0.910200042739
CR44024,0.116221405472,4.27286806257,0.946462239879
Nnf1a,0.0703143541695,4.3792695797,0.970030722863
sced,0.0791407922794,4.44248415842,0.984033076995
Drep3,0.162051937144,4.47298280034,0.990788682952
