symbol,mutual_information,cumulative_information,relative_cumulative_information
PVRAP,0.374939959033,0.374939959033,0.0830511282469
CG4341,0.268400019974,0.658693423283,0.145903979169
CG31997,0.25655882654,0.972744817985,0.215467977428
CG31475,0.263743158737,1.29779631352,0.287468554567
CR32111,0.260898204128,1.63911567599,0.363072547853
GstZ2,0.197880410982,2.00708533079,0.444579717883
Tango13,0.121316252557,2.41798491595,0.535596088161
CG17896,0.0999727421563,2.81106277014,0.622664853421
CG14853,0.122589108123,3.22845983989,0.715120449935
CG7339,0.0629210273448,3.59438047363,0.796173751266
Ubc10,0.0640187409127,3.89752435075,0.863321678314
Tom40,0.0629327272254,4.12676195838,0.914098986765
scf,0.0615534406951,4.28155454036,0.94838633936
slo,0.0774280919808,4.37861537741,0.969885813693
Pura,0.14646159414,4.43445188293,0.982253886684
Syngr,0.179386496039,4.47022201874,0.990177155638
