symbol,mutual_information,cumulative_information,relative_cumulative_information
IA-2,0.411101913615,0.411101913615,0.0910611870717
Dtg,0.401600542038,0.763509126206,0.169121196155
CG42747,0.287281315903,1.09183656774,0.241847412172
MESR3,0.271239069415,1.42431851781,0.315493873185
heph,0.251095484704,1.78050079051,0.394390077489
GlyP,0.112488302519,2.09531071185,0.464122093296
Synj,0.0863857143126,2.43166113428,0.538625440822
Ric,0.0729246947863,2.82402628949,0.625536339593
Baldspot,0.0774974409353,3.23757707825,0.717139965098
CG34356,0.0686232736533,3.6183120944,0.801474728285
nAChRalpha2,0.12151531344,3.90411975393,0.86478259402
CG9368,0.0898380940531,4.1178641407,0.91212807441
tth,0.0691586450383,4.27537877488,0.947018375562
CG14104,0.0755320647966,4.3570966307,0.965119300683
CstF-64,0.0710754866803,4.41365932472,0.977648228161
CG4502,0.0759578123549,4.44775565233,0.985200739993
CG15772,0.0795121372688,4.47243931364,0.990668297857
