symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42342,0.45192515455,0.45192515455,0.100103744784
aret,0.234832195147,0.698664531467,0.154757785097
fas,0.205810993954,0.963277881257,0.21337100228
CG1090,0.192748588002,1.23508308201,0.273577251419
CG13300,0.192999191154,1.57187964169,0.348179420639
CG42340,0.102796455754,1.9574049899,0.433575267001
CG14509,0.145916323867,2.38178529133,0.52757768523
CG14431,0.0612976292424,2.87039759782,0.635807822754
thoc7,0.0597624561817,3.31963868377,0.735317032545
Ih,0.0829747845585,3.70556829179,0.820802424533
CG6144,0.0638339947836,4.02254447932,0.891014279439
RhoGEF3,0.0944856770764,4.24553433526,0.940407678775
GILT3,0.184139416563,4.36211805532,0.966231572049
Nc73EF,0.0641234787723,4.42947380644,0.981151217152
trio,0.0611185742178,4.46357013404,0.988703728984
CG43737,0.159691526331,4.48574308305,0.993615151165
