symbol,mutual_information,cumulative_information,relative_cumulative_information
CG34354,0.318438739906,0.318438739906,0.0705358177743
RapGAP1,0.161829875228,0.509849833421,0.112934358907
Fife,0.172492636688,0.733904918268,0.162563711921
CG12355,0.122679978892,0.989978594404,0.219285347493
CG15236,0.149337921206,1.27007742653,0.281328678613
CG42340,0.102796455754,1.6024504112,0.35495100323
tra,0.0723933571937,2.01280067042,0.44584569499
CG42322,0.0793132789099,2.46083350699,0.545087271333
tipE,0.063189801556,2.95742834473,0.655085580562
sxc,0.061669937286,3.40904479107,0.75512094489
CG4239,0.0726379358559,3.79125914521,0.839783389047
Gprk2,0.0911246236807,4.07712681433,0.903104547216
Synj,0.0863857143126,4.23720864235,0.938563494999
QIL1,0.0614489763184,4.3393582715,0.961190162938
ras,0.0781501951767,4.40838783082,0.976480565163
nop5,0.0721585057729,4.45219024213,0.986183024429
CR12842,0.0940119542684,4.47465660854,0.991159440075
