symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
pxb,0.271383863283,0.829169261072,0.183665253544
aret,0.234832195147,1.11136221102,0.246172442528
CG43902,0.291705277617,1.40008851661,0.310126803368
oaf,0.21412209282,1.7471256253,0.386997306834
CG13300,0.192999191154,2.13022556982,0.471855913812
CG42402,0.174873758383,2.52017917175,0.558232641136
Gycbeta100B,0.0766428172393,2.91798087581,0.646347763422
CG32698,0.172041030745,3.32178281178,0.735791967922
CG1648,0.182361582849,3.68212191837,0.815608932298
CG2269,0.107429081915,3.96640446509,0.878578977707
pgant2,0.0847603475043,4.15809288565,0.921038948206
GluRIB,0.113127504423,4.29456489235,0.951268199203
CG18769,0.0989280574085,4.37232427759,0.968492302744
CG12163,0.0875406297477,4.42834348492,0.980900845126
Ca-alpha1T,0.171827749644,4.46105942173,0.988147593301
CR44027,0.119786471156,4.47963468504,0.992262109607
