symbol,mutual_information,cumulative_information,relative_cumulative_information
CG4341,0.268400019974,0.268400019974,0.0594519840931
CG15537,0.26666213674,0.539080726965,0.119409152084
heph,0.251095484704,0.800576921767,0.177331903414
CG10947,0.225141557289,1.06444677023,0.23578043123
sano,0.214150333872,1.34915573119,0.298844929585
Pde9,0.196450222565,1.70579781216,0.377842983785
CG32698,0.172041030745,2.09089492276,0.463143973314
CG42732,0.107376175425,2.4934795758,0.552318543386
CG31249,0.0681947565248,2.95031061605,0.653508967073
sdt,0.0852364937754,3.39386500442,0.751758544118
CG9531,0.0875454549691,3.77331024075,0.835807614446
CG17896,0.0999727421563,4.05893008804,0.899073878805
CG6999,0.10939523836,4.25356661076,0.942186869086
X11Lbeta,0.0752677607599,4.37320452983,0.96868728314
DCTN3-p24,0.065407908524,4.44277757584,0.984098070461
Inos,0.0669718909921,4.47465660854,0.991159440075
