symbol,mutual_information,cumulative_information,relative_cumulative_information
Dtg,0.401600542038,0.401600542038,0.0889565844271
CG42747,0.287281315903,0.684801225326,0.151686991525
CG10947,0.225141557289,0.946085792621,0.209562866274
CG30463,0.188568544321,1.22974764305,0.272395424264
ST6Gal,0.178831904032,1.55439026781,0.344305434424
fas,0.205810993954,1.93663744669,0.428975149428
CG9801,0.074178997376,2.33074433523,0.516271851086
GILT3,0.184139416563,2.78035858216,0.615863717953
CG10340,0.0710926502376,3.2287059806,0.715174971367
Gycbeta100B,0.0766428172393,3.65271821544,0.809095860953
px,0.0761459976184,3.99229365924,0.884313567291
pgant5,0.0952262908871,4.1947688697,0.9291628672
nAChRalpha2,0.12151531344,4.33230225378,0.959627218745
Ih,0.0829747845585,4.41060512572,0.976971707381
CG12608,0.0709049271962,4.46051593504,0.988027208205
CG30156,0.071794226328,4.48490617894,0.993429772604
