symbol,mutual_information,cumulative_information,relative_cumulative_information
ytr,0.352632368744,0.352632368744,0.0781098823291
CG30089,0.278061631773,0.648958417274,0.143747625297
CG42458,0.285208152076,0.958353831902,0.212280300036
CG32521,0.182461917831,1.19920127586,0.265629246912
CG12065,0.201425131328,1.44475425076,0.32002049308
CG31690,0.111559076376,1.70210284548,0.37702452967
GluRIA,0.158196292491,1.99735886104,0.442425254836
CG14431,0.0612976292424,2.34407935078,0.519225625577
ras,0.0781501951767,2.72743884738,0.604141724673
CG17721,0.0603550867333,3.13251805168,0.693868850673
sxc,0.061669937286,3.50433466631,0.776228142079
para,0.0916983729476,3.83378652804,0.849203422948
CG10470,0.0627247599073,4.09485428759,0.907031273669
CG3961,0.0771487263984,4.25083446725,0.941581685254
alphagamma-element:CR32865,0.0666803527053,4.3579335348,0.965304679244
CG4502,0.0759578123549,4.41420281141,0.977768613256
cathD,0.0645001343019,4.44415796663,0.984403834118
Tes,0.0799330879576,4.46938511464,0.989991777077
UQCR-6.4,0.069980213059,4.48712347384,0.993920914822
