symbol,mutual_information,cumulative_information,relative_cumulative_information
CG17278,0.728365845438,0.728365845438,0.161336778817
Dtg,0.401600542038,1.12167625822,0.248457056999
CG42339,0.350915000404,1.50052377414,0.332373729182
CR32111,0.260898204128,1.77055137329,0.392186230429
GstZ2,0.197880410982,2.0361422303,0.451015970486
CG42750,0.236541559745,2.32037451275,0.513974882102
CG42732,0.107376175425,2.62057498353,0.580470829514
nAChRalpha1,0.106624115786,2.95242721448,0.653977804504
VepD,0.0734027383064,3.32197591425,0.735834741111
CG7985,0.116189868519,3.68157168722,0.81548705327
Atet,0.0677533266533,3.99111086332,0.884051571916
mGluR,0.103088479326,4.19947128091,0.930204475457
CG9471,0.0718410350696,4.33811723438,0.960915266838
CG4239,0.0726379358559,4.40617053592,0.975989422945
CG32700,0.118056130259,4.45524444113,0.986859545208
CG17931,0.0764780353031,4.48490617894,0.993429772604
