symbol,mutual_information,cumulative_information,relative_cumulative_information
Dtg,0.401600542038,0.401600542038,0.0889565844271
CR45333,0.189752769186,0.614885820034,0.136200369863
fas,0.205810993954,0.863679011396,0.191309340633
CG8641,0.134432596054,1.06799161181,0.236565631863
CG9940,0.0675513461218,1.27150928983,0.281645843695
CG42806,0.0625788350755,1.56100804481,0.345771306047
CG5021,0.0817179526862,1.93388401646,0.428365250479
CR31032,0.0978763122019,2.38821696209,0.529002333364
5PtaseI,0.0663204173069,2.87830467115,0.63755928014
sced,0.0791407922794,3.35327851209,0.742768427438
mRpL12,0.0619054616288,3.71926130113,0.823835496489
CG17931,0.0764780353031,3.9966066475,0.885268916361
Nc73EF,0.0641234787723,4.19956424437,0.930225067341
CG34384,0.0694624110286,4.29026661414,0.950316108485
CG3760,0.0719696488817,4.36042649498,0.965856882737
CG11221,0.0751892608137,4.4058771185,0.97592442948
igl,0.0879624450113,4.43499536962,0.98237427178
Gie,0.0701218464599,4.45716831862,0.987285693961
unc-13-4A,0.115113702477,4.47352628703,0.990909068048
