symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42458,0.285208152076,0.285208152076,0.0631750717534
aret,0.234832195147,0.532631540132,0.117980624049
FER,0.189857033986,0.762058773386,0.168799935551
rpr,0.185963491295,1.00748404096,0.223162893889
Drep3,0.162051937144,1.2562635358,0.278268830809
Shab,0.111998282312,1.54103819424,0.341347881493
CG12608,0.0709049271962,1.87526073078,0.415379891356
CG2269,0.107429081915,2.2535977007,0.499183474976
Sodh-2,0.0851494713955,2.67905965266,0.593425484358
Gpo-1,0.0655180120618,3.07552102683,0.681243716685
Baldspot,0.0774974409353,3.45184747313,0.764601958989
CG32706,0.0846568114692,3.79264051366,0.840089369259
gukh,0.0703381876302,3.99212870956,0.88427703009
CG5065,0.0692943252617,4.13787707096,0.916561041337
sfl,0.0807414909233,4.24443265183,0.940163650231
pog,0.0699148718819,4.32313965677,0.957597656407
CG32333,0.0680689814343,4.37981306639,0.970151107959
rho,0.0966240288203,4.42169160022,0.979427418472
CG11221,0.0751892608137,4.45135333803,0.985997645868
Dak1,0.0669832191963,4.47381970444,0.990974061514
