symbol,mutual_information,cumulative_information,relative_cumulative_information
oaf,0.21412209282,0.21412209282,0.0474291442211
GstZ2,0.197880410982,0.438991335947,0.0972388374795
CG1648,0.182361582849,0.670407995307,0.148498817089
CG42673,0.164385771646,0.948975732198,0.210203002745
nAChRalpha6,0.138187920584,1.27366498925,0.282123342196
SKIP,0.103861874894,1.66449664921,0.368694563889
Atet,0.0677533266533,2.12127298998,0.469872871358
GlyRS,0.0651044611404,2.62746867378,0.58199781734
Mgstl,0.0655156458752,3.13530952924,0.694487177302
CG5168,0.0640503296809,3.59791789369,0.796957307993
CG40472,0.0742985314857,3.95581508706,0.87623337604
X11Lbeta,0.0752677607599,4.18954072392,0.928004806037
Tom40,0.0629327272254,4.33705889908,0.960680840128
l(2)41Ab,0.0945425988865,4.4071467937,0.976205669063
ND-B14.5A,0.0619381194121,4.44913604312,0.98550650365
Nmda1,0.0620155613774,4.48047158914,0.992447488168
