symbol,mutual_information,cumulative_information,relative_cumulative_information
CG31676,0.590963895699,0.590963895699,0.130901540656
Dat,0.29350606114,0.902750702543,0.199963921064
aret,0.234832195147,1.12749804498,0.249746612693
CG1648,0.182361582849,1.35599360272,0.300359553279
Ih,0.0829747845585,1.58769583922,0.351682789694
nAChRalpha1,0.106624115786,1.9118447352,0.423483436389
GlyRS,0.0651044611404,2.2969019667,0.508775592495
Baldspot,0.0774974409353,2.7361506848,0.606071441444
CG14977,0.0658742245206,3.20310555581,0.709504345682
Nop56,0.0714973281709,3.62622806179,0.803228155753
CG10139,0.0688319366505,3.94895970631,0.874714873966
DCTN3-p24,0.065407908524,4.17431934423,0.92463319219
Mkp3,0.0712577590389,4.29949657862,0.952360593062
CG14104,0.0755320647966,4.3792695797,0.970030722863
Tet,0.0940548641349,4.43361497882,0.982068508123
CG4502,0.0759578123549,4.46465710743,0.988944499176
CG12541,0.0610068965422,4.48490617894,0.993429772604
