symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42342,0.45192515455,0.45192515455,0.100103744784
CG42747,0.287281315903,0.745611434038,0.16515676534
CG42750,0.236541559745,1.04209485819,0.230829367817
oaf,0.21412209282,1.34394700988,0.29769117104
CBP,0.238201037678,1.63777109792,0.362774716899
pgant2,0.0847603475043,1.94512522586,0.430855236145
mRpS14,0.0650549037882,2.29766964494,0.50894563717
Atet,0.0677533266533,2.7155079212,0.601498963195
CG6999,0.10939523836,3.15738864347,0.699377814597
ksh,0.0633050402993,3.57278657935,0.791390592685
Prp3,0.0736591559345,3.90913029261,0.865892454095
GLS,0.0685402839225,4.16472075102,0.922507054455
para,0.0916983729476,4.31689190508,0.956213747292
ND-B14.5A,0.0619381194121,4.40784434413,0.976360180068
snRNP-U1-C,0.0617863481146,4.45967903093,0.987841829644
CG2201,0.107437025778,4.48185197994,0.992753251825
