symbol,mutual_information,cumulative_information,relative_cumulative_information
CG2082,0.422657906886,0.422657906886,0.0936208989831
heph,0.251095484704,0.674400740914,0.149383230766
RapGAP1,0.161829875228,0.905998033731,0.200683221614
CG7991,0.215364480023,1.18584086043,0.262669846218
app,0.179537379208,1.48953550195,0.32993977041
CG14509,0.145916323867,1.84626267767,0.408956673532
CG2269,0.107429081915,2.28610131499,0.506383192622
ksh,0.0633050402993,2.7694696334,0.61345175983
CG14977,0.0658742245206,3.25186297906,0.720304365561
CG9801,0.074178997376,3.67304575971,0.813598516502
Baldspot,0.0774974409353,4.00291088071,0.886665336423
CG10340,0.0710926502376,4.21317918333,0.933240846305
CG6999,0.10939523836,4.3415755664,0.961681305156
cmpy,0.170865483411,4.42031120942,0.979121654815
igl,0.0879624450113,4.45829864014,0.987536065987
CG6154,0.162146478818,4.48352578815,0.993124008947
