symbol,mutual_information,cumulative_information,relative_cumulative_information
Ac76E,0.388448109036,0.388448109036,0.0860432529091
ytr,0.352632368744,0.751027832871,0.166356525524
CG32204,0.319947496401,1.07701622824,0.238564630791
rdgA,0.242963395399,1.3930355532,0.308564535718
CG30463,0.188568544321,1.73203399611,0.383654433393
CG42541,0.167545378244,2.07520604271,0.459668805738
GstZ2,0.197880410982,2.48050919144,0.549445536579
Gycbeta100B,0.0766428172393,2.90777046356,0.644086104623
GLS,0.0685402839225,3.3160906134,0.73453111672
CG10139,0.0688319366505,3.68824270409,0.816964717798
pgant5,0.0952262908871,3.96409438974,0.878067284144
CG9940,0.0675513461218,4.1438562066,0.917885450614
CG14669,0.0741129728735,4.27471995384,0.946872443315
CG34132,0.0738886683485,4.35752940179,0.965215161704
CG8910,0.0795926924404,4.41587661962,0.978139370379
CG5065,0.0692943252617,4.45691824934,0.98723030233
Grip,0.0816496053897,4.47687390344,0.991650582293
