symbol,mutual_information,cumulative_information,relative_cumulative_information
CR44978,0.285065355803,0.285065355803,0.0631434416449
CG4341,0.268400019974,0.570027174372,0.12626394926
CG31997,0.25655882654,0.886996732632,0.196474335748
aret,0.234832195147,1.2068575752,0.267325156571
sick,0.156264014604,1.51254422904,0.335036321733
CG15522,0.140765603894,1.8953959259,0.419839940578
CG5890,0.106599739241,2.34239156174,0.518851771628
GLS,0.0685402839225,2.84489057168,0.630157885349
Glo1,0.0776833192371,3.34219763399,0.74031395598
Baldspot,0.0774974409353,3.75168382053,0.831017251199
CG42806,0.0625788350755,4.03700720832,0.894217848255
P5cr,0.0800634302602,4.22750255865,0.936413547565
CG31249,0.0681947565248,4.34128214898,0.961616311691
Sodh-2,0.0851494713955,4.41006163903,0.976851322286
CG42673,0.164385771646,4.45524444113,0.986859545208
Slob,0.0777171951746,4.47909119835,0.992141724511
