symbol,mutual_information,cumulative_information,relative_cumulative_information
CG31676,0.590963895699,0.590963895699,0.130901540656
CG4341,0.268400019974,0.870029249933,0.192715951111
CG42750,0.236541559745,1.11157377716,0.246219305514
RapGAP1,0.161829875228,1.37610414369,0.304814141477
oaf,0.21412209282,1.68577282785,0.373407346824
CR31032,0.0978763122019,1.99676462577,0.442293628669
Pde6,0.117801019098,2.38268845174,0.527777739902
P5cr,0.0800634302602,2.81229472561,0.622937737889
CG2269,0.107429081915,3.26832933559,0.723951748175
Shab,0.111998282312,3.66456904516,0.811720880654
CG42260,0.0732577191526,3.98301250277,0.882257743425
Baldspot,0.0774974409353,4.20506483031,0.931443475401
CG3527,0.0704014886903,4.33241296938,0.959651742819
CG40472,0.0742985314857,4.41144202982,0.977157085943
ras,0.0781501951767,4.45884212683,0.987656451083
CG17680,0.0747694978841,4.48490617894,0.993429772604
