symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42747,0.287281315903,0.287281315903,0.0636342881977
Cngl,0.28307895033,0.597295383614,0.132303997775
CR45312,0.262650844053,0.915475836107,0.20278260356
heph,0.251095484704,1.23109583566,0.272694055857
CG32698,0.172041030745,1.55769254234,0.345036905206
RapGAP1,0.161829875228,1.93477161801,0.428561858785
CG15522,0.140765603894,2.3526964344,0.521134353893
Shab,0.111998282312,2.81662613866,0.623897168144
5PtaseI,0.0663204173069,3.27507170946,0.725445218645
para,0.0916983729476,3.6868179875,0.816649135751
Glo1,0.0776833192371,4.02361065847,0.891250443602
norpA,0.0921896581511,4.23872838683,0.938900126212
CR46008,0.064896818889,4.356149011,0.964909398047
CG14853,0.122589108123,4.42947380644,0.981151217152
Synj,0.0863857143126,4.47687390344,0.991650582293
