symbol,mutual_information,cumulative_information,relative_cumulative_information
CR44978,0.285065355803,0.285065355803,0.0631434416449
CG4341,0.268400019974,0.570027174372,0.12626394926
CG31997,0.25655882654,0.886996732632,0.196474335748
CR32111,0.260898204128,1.21073877394,0.268184862044
CG42673,0.164385771646,1.48034013937,0.327902950331
Tango13,0.121316252557,1.78559190093,0.395517784617
CR44024,0.116221405472,2.16382625974,0.479298639348
CG9992,0.0720820432171,2.60088261653,0.576108868997
Arpc2,0.0698900192463,3.05442777924,0.676571453916
CG32698,0.172041030745,3.47907590189,0.770633195922
VepD,0.0734027383064,3.82775546953,0.847867512488
CG9953,0.0699424181465,4.09381692953,0.906801493526
CG10512,0.0698325532631,4.25800120056,0.943169153522
CG34356,0.0686232736533,4.3593139256,0.965610442901
CG3760,0.0719696488817,4.42750658081,0.980715466565
sfl,0.0807414909233,4.46105942173,0.988147593301
Ac78C,0.0864398276212,4.47879778093,0.992076731045
