symbol,mutual_information,cumulative_information,relative_cumulative_information
twz,0.542207084034,0.542207084034,0.120101656245
Ac76E,0.388448109036,0.949287324576,0.210272022059
Dtg,0.401600542038,1.28786816068,0.285269417679
Dat,0.29350606114,1.63331947385,0.361788659284
CG42750,0.236541559745,1.96666833953,0.435627146561
CG1090,0.192748588002,2.35397123683,0.521416729183
CG42674,0.160269456243,2.72332519212,0.603230528887
norpA,0.0921896581511,3.10791767603,0.688419741013
GstZ2,0.197880410982,3.48121456662,0.771106921153
CG42732,0.107376175425,3.82614678134,0.847511179784
CG2269,0.107429081915,4.08809168729,0.90553332294
Pglym78,0.0878916617699,4.26865490397,0.945529003591
CG15236,0.149337921206,4.37956299711,0.970095716329
CG32982,0.164069027031,4.44277757584,0.984098070461
spri,0.111988614565,4.47381970444,0.990974061514
