symbol,mutual_information,cumulative_information,relative_cumulative_information
CG30089,0.278061631773,0.278061631773,0.0615920807707
CG1090,0.192748588002,0.488288787146,0.108158476326
CG43729,0.189321839004,0.725512327207,0.16070470986
nAChRalpha3,0.160434857392,0.98011081536,0.217099583711
CG44422,0.125662646301,1.27952354361,0.283421042102
Tango13,0.121316252557,1.64873926702,0.365204222735
CG5890,0.106599739241,2.09299075374,0.46360821065
ras,0.0781501951767,2.58258865064,0.572056661516
Tom70,0.061956403875,3.10043710667,0.686762756447
tra,0.0723933571937,3.55943130207,0.788432330115
Nnf1a,0.0703143541695,3.91982352004,0.868261058937
CG10340,0.0710926502376,4.16114404256,0.921714795147
para,0.0916983729476,4.30924905254,0.954520816168
poly,0.0628510167446,4.38675836851,0.971689528079
CG10019,0.0749194625016,4.43666917783,0.982745028902
tth,0.0691586450383,4.46854821054,0.989806398516
Ppcs,0.0828843027707,4.48934076874,0.99441205704
