symbol,mutual_information,cumulative_information,relative_cumulative_information
CG7991,0.215364480023,0.215364480023,0.047704339373
Pde1c,0.202952423373,0.441824298796,0.097866353313
GstZ2,0.197880410982,0.703339056494,0.155793216419
Pde9,0.196450222565,1.01036170072,0.223800310318
CG1648,0.182361582849,1.37407660197,0.304365030565
CG9992,0.0720820432171,1.78706462077,0.395843999631
GluRIA,0.158196292491,2.27311976984,0.503507713641
nAChRalpha1,0.106624115786,2.79083965675,0.618185329851
CG44422,0.125662646301,3.27676309793,0.725819869887
sdt,0.0852364937754,3.69912294521,0.819374747136
CG31249,0.0681947565248,4.03148260305,0.89299411979
CG32706,0.0846568114692,4.23480864564,0.93803188339
P5cr,0.0800634302602,4.35211855421,0.964016631151
CG17896,0.0999727421563,4.42558270333,0.980289317812
para,0.0916983729476,4.47520009524,0.99127982517
