symbol,mutual_information,cumulative_information,relative_cumulative_information
CG32204,0.319947496401,0.319947496401,0.0708700150935
CR45312,0.262650844053,0.587634508814,0.130164064347
rdgA,0.242963395399,0.870797780182,0.192886184512
CG1090,0.192748588002,1.16345956135,0.257712273423
CG30463,0.188568544321,1.52611280133,0.338041830242
Ca-alpha1T,0.171827749644,1.90494704508,0.421955562572
CG14509,0.145916323867,2.33147635834,0.516433997966
CG42806,0.0625788350755,2.75804900068,0.610922030975
CG32278,0.0570857063647,3.18420962412,0.705318799681
Glo1,0.0776833192371,3.57652074851,0.792217730349
CG14270,0.0577663797501,3.89788820768,0.863402274494
Nc73EF,0.0641234787723,4.13036438209,0.914896942133
alc,0.0659698393916,4.29391069006,0.951123290033
DCTN3-p24,0.065407908524,4.39053875602,0.972526903345
QIL1,0.0614489763184,4.44415796663,0.984403834118
Fem-1,0.057935695845,4.47771080755,0.991835960854
